trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",20,0,-91.42836536565828,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,6,-49.28177722821728,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.01, 'e': 0.9801986733067553}",25,14,-18.8457128707987,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-60.75721006419358,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,0,-88.68496925058733,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.951229424500714}",20,0,-133.99812350537027,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,0,-85.54936050383495,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9323938199059483}",25,0,-156.9391699963901,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-117.76449738834859,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,0,-160.07702641324016,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.9048374180359595}",25,0,-35.33397296522355,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,0,-120.55656908482916,"{0: 6, 1: 6, 2: 6, 3: 2, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.8869204367171575}",25,0,-62.61739072258164,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.8780954309205613}",25,0,-139.01628223783604,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.8693582353988059}",25,0,-116.980607409602,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.8607079764250578}",30,0,-139.9792466585799,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.8521437889662113}",30,0,-117.5125596658879,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.8436648165963837}",25,0,-135.73632957259133,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.835270211411272}",20,0,-213.20356303449037,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
20,False,"{'a': 0.01, 'e': 0.8269591339433623}",25,5,-56.67512422832434,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
21,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,0,-73.29776801634601,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.8105842459701871}",35,0,-69.55003519962497,"{0: 23, 1: 5, 2: 7, 3: 0, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.8025187979624785}",20,0,-86.18890483240371,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.794533602503334}",25,0,-124.62029498885663,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.7866278610665535}",20,0,-77.76045174334574,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.7788007830714049}",20,0,-187.56023397054923,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
27,False,"{'a': 0.01, 'e': 0.7710515858035663}",20,0,-103.43447902208928,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.7633794943368531}",20,4,-66.12191829252222,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 1}",1
29,False,"{'a': 0.01, 'e': 0.7557837414557255}",20,9,-34.38600019799353,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
30,False,"{'a': 0.01, 'e': 0.7482635675785653}",25,0,-15.967327006605721,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.7408182206817179}",20,0,-20.35034566243779,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.7334469562242892}",25,0,-118.87282597127252,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
33,False,"{'a': 0.01, 'e': 0.7261490370736909}",20,0,-75.90467472998658,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.7189237334319262}",30,4,-163.3011133054991,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 3}",1
35,False,"{'a': 0.01, 'e': 0.7117703227626097}",25,0,-198.1184741870924,"{0: 16, 1: 3, 2: 0, 3: 2, 4: 4}",0
36,False,"{'a': 0.01, 'e': 0.7046880897187134}",25,0,-78.05943660383134,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.697676326071031}",35,0,-237.7611262131333,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 5}",0
38,False,"{'a': 0.01, 'e': 0.6907343306373547}",20,0,-132.9788464103336,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
39,False,"{'a': 0.01, 'e': 0.6838614092123558}",25,0,-177.45423050714382,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
40,False,"{'a': 0.01, 'e': 0.6770568744981647}",30,0,-217.52269032772287,"{0: 16, 1: 5, 2: 5, 3: 0, 4: 4}",0
41,False,"{'a': 0.01, 'e': 0.6703200460356393}",35,0,-81.07537986116107,"{0: 25, 1: 3, 2: 6, 3: 0, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.6636502501363194}",25,0,-57.546368958522564,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.6570468198150567}",20,0,-119.84635727918996,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
44,False,"{'a': 0.01, 'e': 0.6505090947233165}",25,0,-58.941502117295485,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.6440364210831414}",30,0,-104.00617287881751,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.6376281516217733}",35,0,-157.79319043001064,"{0: 20, 1: 5, 2: 8, 3: 0, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.631283645506926}",25,0,-83.20537474259044,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
48,False,"{'a': 0.01, 'e': 0.6250022682827008}",20,0,-42.89643746384146,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
49,False,"{'a': 0.01, 'e': 0.6187833918061408}",25,0,-154.19755509506632,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,0,-18.937735736833506,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.01, 'e': 0.6065306597126334}",20,0,-56.759965762945725,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.6004955788122659}",25,0,-76.3443458716777,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.5945205479701944}",25,0,-89.11779082042399,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
54,False,"{'a': 0.01, 'e': 0.5886049696783552}",20,0,-35.227965054496565,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.5827482523739896}",20,0,-96.86004418555117,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.5769498103804866}",20,0,-15.199448347990314,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
57,False,"{'a': 0.01, 'e': 0.5712090638488149}",25,0,-79.90826994289785,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.5655254386995371}",20,8,-61.47293572295299,"{0: 6, 1: 1, 2: 4, 3: 1, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.559898366565402}",20,16,6.47977832918583,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.5543272847345071}",25,1,-64.16489856149985,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 1}",1
61,False,"{'a': 0.01, 'e': 0.5488116360940265}",20,0,-33.31532843237554,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.01, 'e': 0.5433508690744998}",20,0,-53.9547704381601,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.5379444375946745}",30,0,-91.15105531878994,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.5325918010068972}",25,0,-104.9002469781934,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
65,False,"{'a': 0.01, 'e': 0.5272924240430485}",25,0,-6.627084496545267,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.522045776761016}",25,0,-65.97924800125715,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.5168513344916992}",30,0,-56.18720640892897,"{0: 26, 1: 2, 2: 0, 3: 0, 4: 2}",0
68,False,"{'a': 0.01, 'e': 0.5117085777865424}",25,0,-96.64097691324905,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
69,False,"{'a': 0.01, 'e': 0.5066169923655895}",25,0,-131.42659453239057,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
70,False,"{'a': 0.01, 'e': 0.5015760690660555}",20,0,-16.783336763889235,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.49658530379140947}",20,0,-123.79172082132166,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
72,False,"{'a': 0.01, 'e': 0.4916441974609651}",20,0,-101.35419603637536,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.4867522559599717}",20,0,-62.1730756852865,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.48190899009020244}",25,3,-36.048291184190994,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.4771139155210344}",20,9,-70.44855069497008,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 2}",1
76,False,"{'a': 0.01, 'e': 0.4723665527410147}",25,0,-82.70335859223216,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.46766642700990924}",25,10,-24.842350358832277,"{0: 9, 1: 4, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.01, 'e': 0.46301306831122807}",30,0,-103.47578344983475,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
79,False,"{'a': 0.01, 'e': 0.4584060113052235}",25,0,-70.98560512626277,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
80,False,"{'a': 0.01, 'e': 0.45384479528235583}",20,4,-74.16980692363694,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 1}",1
81,False,"{'a': 0.01, 'e': 0.44932896411722156}",25,11,-56.879023995222944,"{0: 8, 1: 0, 2: 5, 3: 1, 4: 0}",1
