trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.95}",25,0,-94.66651609569374,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.8999999999999999}",20,0,-37.140467344799674,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.8499999999999999}",20,0,-99.34185049371669,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.7999999999999998}",20,0,-77.80193837545082,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.7499999999999998}",20,0,-122.47441912836089,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.6999999999999997}",30,0,-121.75049295497291,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.6499999999999997}",20,0,-67.97342112034997,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.5999999999999996}",25,0,-110.72012481564485,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.5499999999999996}",20,0,-11.920093096914902,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.4999999999999996}",25,0,-234.56830698575547,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 6}",0
11,False,"{'a': 0.01, 'e': 0.4499999999999996}",25,0,-139.59061055339802,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.39999999999999963}",20,0,-79.00222594282305,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.34999999999999964}",20,0,-71.88298059425617,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.29999999999999966}",20,0,-55.04678378280017,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.24999999999999967}",20,0,-41.9872760268511,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.19999999999999968}",25,0,-144.91550479705566,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
17,False,"{'a': 0.01, 'e': 0.1499999999999997}",20,0,-85.1782128610962,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.09999999999999969}",20,1,-10.007047305862773,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.01, 'e': 0.049999999999999684}",25,0,-102.45841140225966,"{0: 13, 1: 5, 2: 5, 3: 2, 4: 0}",0
20,False,"{'a': 0.01, 'e': -3.191891195797325e-16}",25,0,-96.4806488345189,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,0,-65.81712590369213,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,0,-95.88625738079072,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,4,-90.76962853260156,"{0: 8, 1: 2, 2: 5, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",25,0,-128.47685972805326,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-140.54451495895236,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-92.52722082930507,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,8,-113.02904541805307,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",25,0,-126.68649614095814,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",30,0,-104.19968302136738,"{0: 17, 1: 6, 2: 5, 3: 2, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-63.161068672676876,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
